2026-06-12 13:03:35,243 | DEBUG    | app.adapters.base_adapter.CSVAdapter | req=7859d832a035 user=anonymous | CSVAdapter.fetch entity=facilities entity_key=None sor='1SOR' rows_returned=0
2026-06-12 13:03:35,246 | DEBUG    | app.adapters.base_adapter.CSVAdapter | req=7859d832a035 user=anonymous | CSVAdapter.fetch entity=obligors entity_key=None sor='1SOR' rows_returned=84
2026-06-12 13:03:35,249 | DEBUG    | app.services.reporting_service | req=7859d832a035 user=anonymous | get_facilities search='' sor='1SOR' -> 0/0
2026-06-12 13:03:58,360 | DEBUG    | app.adapters.base_adapter.CSVAdapter | req=69984983a661 user=anonymous | CSVAdapter.fetch entity=facilities entity_key=None sor='1SOR' rows_returned=0
2026-06-12 13:03:58,363 | DEBUG    | app.adapters.base_adapter.CSVAdapter | req=69984983a661 user=anonymous | CSVAdapter.fetch entity=obligors entity_key=None sor='1SOR' rows_returned=84
2026-06-12 13:03:58,365 | DEBUG    | app.services.reporting_service | req=69984983a661 user=anonymous | get_facilities search='' sor='1SOR' -> 0/0
2026-06-12 13:05:34,407 | DEBUG    | app.adapters.base_adapter.CSVAdapter | req=217e21320bcb user=anonymous | CSVAdapter.fetch entity=facilities entity_key=None sor='2SOR' rows_returned=0
2026-06-12 13:05:34,411 | DEBUG    | app.adapters.base_adapter.CSVAdapter | req=217e21320bcb user=anonymous | CSVAdapter.fetch entity=obligors entity_key=None sor='2SOR' rows_returned=83
2026-06-12 13:05:34,415 | DEBUG    | app.services.reporting_service | req=217e21320bcb user=anonymous | get_facilities search='' sor='2SOR' -> 0/0
2026-06-12 13:05:37,162 | DEBUG    | app.adapters.base_adapter.CSVAdapter | req=7bf862c97daf user=anonymous | CSVAdapter.fetch entity=facilities entity_key=None sor='1SOR' rows_returned=0
2026-06-12 13:05:37,166 | DEBUG    | app.adapters.base_adapter.CSVAdapter | req=7bf862c97daf user=anonymous | CSVAdapter.fetch entity=obligors entity_key=None sor='1SOR' rows_returned=84
2026-06-12 13:05:37,170 | DEBUG    | app.services.reporting_service | req=7bf862c97daf user=anonymous | get_facilities search='' sor='1SOR' -> 0/0
2026-06-12 13:06:43,823 | INFO     | app.services.data_service | req=- user=- | DataService: registered adapter 'csv'
2026-06-12 13:06:43,823 | INFO     | app.services.data_service | req=- user=- | DataService: registered adapter 'dremio'
2026-06-12 13:06:43,824 | INFO     | app.services.data_service | req=- user=- | DataService: registered adapter 'sqlserver'
2026-06-12 13:06:43,824 | INFO     | app.services.data_service | req=- user=- | DataService: registered adapter 'excel'
2026-06-12 13:06:43,824 | INFO     | app.services.reporting_service | req=- user=- | ReportingService initialised (primary adapter: csv)
2026-06-12 13:06:43,832 | INFO     | app | req=- user=- | Application created with config: development
2026-06-12 13:06:43,832 | INFO     | __main__ | req=- user=- | Starting WF Enterprise Analytics on http://localhost:5000 [development]
2026-06-12 13:06:43,861 | WARNING  | werkzeug | req=- user=- |  * Debugger is active!
2026-06-12 13:07:22,290 | DEBUG    | app.adapters.base_adapter.CSVAdapter | req=762f377b4bea user=anonymous | CSVAdapter loaded entity=facilities rows=100 path=F:\Office\SampleApp4\data\facilities.csv
2026-06-12 13:07:22,298 | DEBUG    | app.adapters.base_adapter.CSVAdapter | req=762f377b4bea user=anonymous | CSVAdapter.fetch entity=facilities entity_key=None sor='1SOR' rows_returned=17
2026-06-12 13:07:22,303 | DEBUG    | app.adapters.base_adapter.CSVAdapter | req=762f377b4bea user=anonymous | CSVAdapter loaded entity=obligors rows=500 path=F:\Office\SampleApp4\data\obligors.csv
2026-06-12 13:07:22,309 | DEBUG    | app.adapters.base_adapter.CSVAdapter | req=762f377b4bea user=anonymous | CSVAdapter.fetch entity=obligors entity_key=None sor='1SOR' rows_returned=84
2026-06-12 13:07:22,318 | DEBUG    | app.services.reporting_service | req=762f377b4bea user=anonymous | get_facilities search='' sor='1SOR' -> 17/17
2026-06-12 13:07:41,346 | DEBUG    | app.adapters.base_adapter.CSVAdapter | req=f4d11871a173 user=anonymous | CSVAdapter.fetch entity=obligors entity_key=None sor='1SOR' rows_returned=84
2026-06-12 13:07:41,364 | DEBUG    | app.adapters.base_adapter.CSVAdapter | req=f4d11871a173 user=anonymous | CSVAdapter loaded entity=transactions rows=5000 path=F:\Office\SampleApp4\data\transactions.csv
2026-06-12 13:07:41,370 | DEBUG    | app.adapters.base_adapter.CSVAdapter | req=f4d11871a173 user=anonymous | CSVAdapter.fetch entity=transactions entity_key=None sor='1SOR' rows_returned=834
2026-06-12 13:07:43,789 | DEBUG    | app.adapters.base_adapter.CSVAdapter | req=842bfa1e8a5c user=anonymous | CSVAdapter.fetch entity=transactions entity_key=None sor='1SOR' rows_returned=834
2026-06-12 13:07:43,798 | DEBUG    | app.adapters.base_adapter.CSVAdapter | req=842bfa1e8a5c user=anonymous | CSVAdapter loaded entity=comments rows=2000 path=F:\Office\SampleApp4\data\comments.csv
2026-06-12 13:07:43,803 | DEBUG    | app.adapters.base_adapter.CSVAdapter | req=842bfa1e8a5c user=anonymous | CSVAdapter.fetch entity=comments entity_key=None sor='1SOR' rows_returned=334
2026-06-12 13:07:45,751 | DEBUG    | app.adapters.base_adapter.CSVAdapter | req=7290b476c436 user=anonymous | CSVAdapter.fetch entity=facilities entity_key=None sor='1SOR' rows_returned=17
2026-06-12 13:07:45,756 | DEBUG    | app.adapters.base_adapter.CSVAdapter | req=7290b476c436 user=anonymous | CSVAdapter.fetch entity=obligors entity_key=None sor='1SOR' rows_returned=84
2026-06-12 13:07:45,761 | DEBUG    | app.services.reporting_service | req=7290b476c436 user=anonymous | get_facilities search='' sor='1SOR' -> 17/17
2026-06-12 14:16:53,119 | INFO     | app.services.data_service | req=- user=- | DataService: registered adapter 'csv'
2026-06-12 14:16:53,119 | INFO     | app.services.data_service | req=- user=- | DataService: registered adapter 'dremio'
2026-06-12 14:16:53,119 | INFO     | app.services.data_service | req=- user=- | DataService: registered adapter 'sqlserver'
2026-06-12 14:16:53,119 | INFO     | app.services.reporting_service | req=- user=- | ReportingService initialised (primary adapter: csv)
2026-06-12 14:16:53,819 | INFO     | app.services.data_service | req=- user=- | DataService: registered adapter 'csv'
2026-06-12 14:16:53,819 | INFO     | app.services.data_service | req=- user=- | DataService: registered adapter 'dremio'
2026-06-12 14:16:53,819 | INFO     | app.services.data_service | req=- user=- | DataService: registered adapter 'sqlserver'
2026-06-12 14:16:53,819 | INFO     | app.services.reporting_service | req=- user=- | ReportingService initialised (primary adapter: csv)
2026-06-12 14:16:53,827 | INFO     | app | req=- user=- | Application created with config: development
2026-06-12 14:16:53,827 | INFO     | __main__ | req=- user=- | Starting WF Enterprise Analytics on http://localhost:5000 [development]
2026-06-12 14:16:53,855 | WARNING  | werkzeug | req=- user=- |  * Debugger is active!
2026-06-12 14:17:00,868 | DEBUG    | app.adapters.base_adapter.CSVAdapter | req=81ecfa0a23ab user=anonymous | CSVAdapter loaded entity=facilities rows=100 path=F:\Office\SampleApp4\data\facilities.csv
2026-06-12 14:17:00,874 | DEBUG    | app.adapters.base_adapter.CSVAdapter | req=81ecfa0a23ab user=anonymous | CSVAdapter.fetch entity=facilities entity_key=None sor='1SOR' rows_returned=17
2026-06-12 14:17:00,879 | DEBUG    | app.adapters.base_adapter.CSVAdapter | req=81ecfa0a23ab user=anonymous | CSVAdapter loaded entity=obligors rows=500 path=F:\Office\SampleApp4\data\obligors.csv
2026-06-12 14:17:00,886 | DEBUG    | app.adapters.base_adapter.CSVAdapter | req=81ecfa0a23ab user=anonymous | CSVAdapter.fetch entity=obligors entity_key=None sor='1SOR' rows_returned=84
2026-06-12 14:17:00,894 | DEBUG    | app.services.reporting_service | req=81ecfa0a23ab user=anonymous | get_facilities search='' sor='1SOR' -> 17/17
2026-06-12 14:17:08,879 | INFO     | app.workers.export_worker | req=- user=- | Export job started job_id=d89e9c6f37c049ca9cfe6caa1a593b6c entity=facilities type=full
2026-06-12 14:17:08,879 | INFO     | app.workers.export_worker | req=011774491010 user=anonymous | Export job queued job_id=d89e9c6f37c049ca9cfe6caa1a593b6c entity=facilities type=full fmt=csv
2026-06-12 14:17:08,880 | DEBUG    | app.adapters.base_adapter.CSVAdapter | req=- user=- | CSVAdapter.fetch entity=facilities entity_key=None sor='' rows_returned=100
2026-06-12 14:17:08,880 | INFO     | app.services.export_service | req=011774491010 user=anonymous | Export job created job_id=d89e9c6f37c049ca9cfe6caa1a593b6c user=anonymous entity=facilities type=full fmt=csv
2026-06-12 14:17:08,884 | INFO     | app.workers.export_worker | req=- user=- | Export job completed job_id=d89e9c6f37c049ca9cfe6caa1a593b6c rows=100 duration_s=0.01 file=d89e9c6f37c049ca9cfe6caa1a593b6c_facilities_full.csv
2026-06-12 14:17:12,463 | INFO     | app.blueprints.export.routes | req=4de653038773 user=anonymous | Export download served job_id=d89e9c6f37c049ca9cfe6caa1a593b6c user=anonymous
2026-06-12 15:04:45,480 | INFO     | app.services.data_service | req=- user=- | DataService: registered adapter 'csv'
2026-06-12 15:04:45,480 | INFO     | app.services.data_service | req=- user=- | DataService: registered adapter 'dremio'
2026-06-12 15:04:45,480 | INFO     | app.services.data_service | req=- user=- | DataService: registered adapter 'sqlserver'
2026-06-12 15:04:45,480 | INFO     | app.services.reporting_service | req=- user=- | ReportingService initialised (primary adapter: csv)
2026-06-12 15:04:45,489 | INFO     | app | req=- user=- | Application created with config: development
2026-06-12 15:04:45,489 | INFO     | __main__ | req=- user=- | Starting WF Enterprise Analytics on http://localhost:5000 [development]
2026-06-12 15:04:45,521 | WARNING  | werkzeug | req=- user=- |  * Debugger is active!
2026-06-12 15:05:07,728 | INFO     | app.services.data_service | req=- user=- | DataService: registered adapter 'csv'
2026-06-12 15:05:07,729 | INFO     | app.services.data_service | req=- user=- | DataService: registered adapter 'dremio'
2026-06-12 15:05:07,729 | INFO     | app.services.data_service | req=- user=- | DataService: registered adapter 'sqlserver'
2026-06-12 15:05:07,729 | INFO     | app.services.reporting_service | req=- user=- | ReportingService initialised (primary adapter: csv)
2026-06-12 15:05:07,737 | INFO     | app | req=- user=- | Application created with config: development
2026-06-12 15:05:07,737 | INFO     | __main__ | req=- user=- | Starting WF Enterprise Analytics on http://localhost:5000 [development]
